"Date","Price","Open","High","Low","Change %"
"Feb 01, 2023","3.836","3.836","3.836","3.836","0.67%"
"Jan 31, 2023","3.810","3.810","3.810","3.810","0.66%"
"Jan 30, 2023","3.785","3.772","3.785","3.772","-0.46%"
"Jan 29, 2023","3.803","3.803","3.803","3.803","0.85%"
"Jan 27, 2023","3.770","4.000","3.771","3.770","-0.04%"
"Jan 26, 2023","3.772","3.733","3.772","3.727","1.04%"
"Jan 25, 2023","3.733","3.733","3.733","3.733","-0.97%"
"Jan 24, 2023","3.770","3.770","3.770","3.770","0.79%"
"Jan 20, 2023","3.740","3.740","3.740","3.740","0.19%"
"Jan 19, 2023","3.733","3.939","3.939","3.733","-5.06%"
"Jan 18, 2023","3.932","3.971","3.971","3.932","-0.98%"
"Jan 17, 2023","3.971","3.971","3.971","3.971","0.00%"
"Jan 16, 2023","3.971","3.938","3.971","3.938","-0.03%"
"Jan 15, 2023","3.972","3.972","3.972","3.972","0.86%"
"Jan 13, 2023","3.938","3.977","3.977","3.938","-0.98%"
"Jan 12, 2023","3.977","3.964","3.977","3.964","0.33%"
"Jan 11, 2023","3.964","3.951","3.964","3.951","0.33%"
"Jan 10, 2023","3.951","3.976","3.976","3.951","-0.63%"
"Jan 09, 2023","3.976","4.041","4.041","3.976","-2.48%"
"Jan 08, 2023","4.077","4.077","4.077","4.077","0.89%"
"Jan 06, 2023","4.041","4.022","4.041","4.022","0.47%"
"Jan 05, 2023","4.022","3.989","4.022","3.989","0.83%"
"Jan 04, 2023","3.989","4.015","4.015","3.989","-0.65%"
"Jan 03, 2023","4.015","4.015","4.015","4.015","-0.88%"
"Jan 02, 2023","4.050","4.050","4.050","4.050","0.88%"
"Dec 30, 2022","4.015","4.093","4.093","4.015","-1.91%"
"Dec 29, 2022","4.093","4.092","4.093","4.092","0.02%"
"Dec 28, 2022","4.092","4.092","4.092","4.092","0.47%"
"Dec 27, 2022","4.073","4.073","4.073","4.073","-0.15%"
"Dec 26, 2022","4.079","4.079","4.079","4.079","0.82%"
"Dec 23, 2022","4.046","4.046","4.046","4.046","0.00%"
"Dec 22, 2022","4.046","4.052","4.052","4.046","-0.15%"
"Dec 21, 2022","4.052","4.056","4.056","4.052","-0.10%"
"Dec 20, 2022","4.056","4.013","4.056","4.013","1.07%"
"Dec 19, 2022","4.013","4.013","4.013","4.013","-0.80%"
"Dec 18, 2022","4.045","4.045","4.045","4.045","0.81%"
"Dec 16, 2022","4.013","4.000","4.013","4.000","0.48%"
"Dec 15, 2022","3.994","4.110","4.110","3.994","-3.70%"
"Dec 14, 2022","4.148","4.148","4.148","4.148","0.74%"
"Dec 13, 2022","4.117","4.097","4.117","4.097","0.49%"
"Dec 12, 2022","4.097","4.077","4.097","4.077","-0.40%"
"Dec 11, 2022","4.114","4.114","4.114","4.114","0.90%"
"Dec 09, 2022","4.077","4.081","4.082","4.077","-0.12%"
"Dec 08, 2022","4.082","4.083","4.083","4.075","0.02%"
"Dec 07, 2022","4.081","4.055","4.081","4.055","0.64%"
"Dec 06, 2022","4.055","4.049","4.055","4.049","0.15%"
"Dec 05, 2022","4.049","4.039","4.049","4.039","-0.58%"
"Dec 04, 2022","4.073","4.073","4.073","4.073","0.85%"
"Dec 02, 2022","4.038","4.068","4.069","4.038","-0.74%"
